Date,Check Number,Description,Type,Charge,Debit,Credit,Running Balance
11/28/18,0, BIRD APP                   8662,Transportation,5.2,5.2,0,106.43
11/28/18,0, SQC*CULTUREDFRIEDCH        4153,Money Transfer - Debit,25,25,0,81.43
11/29/18,0, TJ S SANDWICHES            ATLA,Food,7.07,7.07,0,74.36
11/29/18,0, QUIKTRIP                   DULU,Gasoline,20.83,20.83,0,53.53
11/30/18,0, ALLY BANK        P2P           ,Ally Transfer - From,500,0,500,553.53
11/30/18,0, QT 831        07008311     DULU,Food,1.16,1.16,0,546.83
11/30/18,0, FELLINI S PIZZA-PONCE      ATLA,Food,2,2,0,547.99
11/30/18,0, DUNKIN #310092 Q35         ATLA,Food,2.44,2.44,0,544.39
11/30/18,0, FELLINI S PIZZA-PONCE      ATLA,Food,3.54,3.54,0,549.99
12/3/18,0, 26312 - CITY OF ATLANT     ATLA,Transportation,5.5,5.5,0,538.89
12/5/18,0, BIRD APP                   8662,Transportation,1.75,1.75,0,530.61
12/5/18,0, BIRD APP                   8662,Transportation,1.75,1.75,0,532.36
12/5/18,0, GSU PANTHER DINING RET     ATLA,Food,4.78,4.78,0,534.11
12/6/18,0, DUNKIN #310092 Q35         ATLA,Food,2.44,2.44,0,528.17
12/7/18,0, 26312 - CITY OF ATLANT     ATLA,Transportation,4,4,0,524.17
12/7/18,0, EPC*FORTNITE               919-,Entertainment,4.99,4.99,0,505.48
12/7/18,0, TACO MAC 21                DULU,Food,13.7,13.7,0,510.47
12/7/18,0, RACETRAC490                NORC,Gasoline,21.55,21.55,0,483.93
12/10/18,0, MARTA                      ATLA,Transportation,5,5,0,456.49
12/10/18,0, KURA REVOLVING SUSHI B     DORA,Food,22.44,22.44,0,461.49
12/12/18,0, THAI STAR                  NORC,Food,6.3,6.3,0,442.17
12/12/18,0, CHICK-FIL-A #00821         DULU,Food,8.02,8.02,0,448.47
12/14/18,0, VENMO            CASHOUT       ,Money Transfer - Credit,50,0,50,596.71
12/14/18,0, ZOES AP          PAYROLL       ,PayCheck Deposit - Zoes,104.54,0,104.54,546.71
12/14/18,0, CI CI S NORCROSS #         PEAC,Food,6.56,6.56,0,590.15
12/17/18,0, DUNKIN #353523 Q35         JOHN,Food,6.56,6.56,0,555.9
12/17/18,0, BURGER 21 JOHNS CREEK      JOHN,Food,10.69,10.69,0,579.46
12/17/18,0, IHOP                       DULU,Food,17,17,0,562.46
12/18/18,0, ZAXBY S #17501             NORC,Food,4.79,4.79,0,228.65
12/18/18,0, MICRO ELECTRON             DULU,Entertainment,5.29,5.29,0,233.44
12/18/18,0, UPSCALE NAILS              BERK,Withdrawal,40,40,0,515.9
12/18/18,0, THE HOME DEPOT             DULU,Housing - Repair,80.56,80.56,0,148.09
12/18/18,0, DICK S SPORTIN             NORC,Entertainment,127.17,127.17,0,388.73
12/18/18,0, KROGER 38 3455             DULU,Grocery,150,150,0,238.73
12/19/18,0, THE HOME DEPOT             DULU,Housing - Repair,5.18,5.18,0,124.63
12/19/18,0, KROGER FU 3455             DULU,Gasoline,18.28,18.28,0,129.81
12/20/18,0, BOJANGLES 200301020031     DULU,Food,1.58,1.58,0,123.05
12/21/18,0, KROGER 38 3455             DULU,Grocery,19.22,19.22,0,103.83
12/24/18,0, BP#9785106INWOOD BP2       INWO,Food,2.77,2.77,0,101.06
12/24/18,0, VENMO            PAYMENT    160,Money Transfer - Debit,42,42,0,59.06
12/24/18,0, ALLY BANK        $TRANSFER  145,Ally Transfer - To,50,50,0,9.06
12/28/18,0, ZOES AP          PAYROLL       ,PayCheck Deposit - Zoes,184.91,0,184.91,193.97
12/28/18,504,CHECK,Withdrawal,35,35,0,158.97
12/31/18,0,MOBILE CHECK DEPOSIT,Deposit,25,0,25,183.97
1/2/19,0, QUIKTRIP                   DULU,Gasoline,19.52,19.52,0,139.27
1/2/19,0, PHO HOUSE.                 DULU,Food,25.18,25.18,0,158.79
1/4/19,0, ZOES AP          PAYROLL       ,PayCheck Deposit - Zoes,41.09,0,41.09,180.36
1/7/19,0, FELLINI S PIZZA-PONCE      ATLA,Food,5.03,5.03,0,175.33
1/8/19,0, LEAF GROCERY               CLEV,Grocery,7.52,7.52,0,167.81
1/10/19,0, HANSEL AND GRETEL CAND     HELE,Food,8.89,8.89,0,112.93
1/10/19,0, BQ WINGS                   DULU,Food,10,10,0,102.93
1/10/19,0, RITE AID STORE             ATLA,Grocery,10.68,10.68,0,92.25
1/10/19,0, HOFBRAUHAUS                HELE,Food,45.99,45.99,0,121.82
1/14/19,0, PROOF OF THE PUDDING A     DULU,Food,6,6,0,86.25
1/14/19,0, 3 BROTHERS SMOKE SHOP      DULU,Entertainment,21.2,21.2,0,43.72
1/14/19,0, QUIKTRIP                   DULU,Gasoline,21.33,21.33,0,64.92
1/15/19,0, PUBLIX SUPER M             DULU,Food,1.28,1.28,0,20.29
1/15/19,0, DUNKIN #310092 Q35         ATLA,Food,2.44,2.44,0,41.28
1/15/19,0, WILLYS GEORGIA STATE       ATLA,Food,19.71,19.71,0,21.57
1/16/19,0, ALLY BANK        P2P           ,Mom Fund,200,0,200,220.29
1/17/19,0, WILLYS GEORGIA STATE       ATLA,Food,1.2,1.2,0,214.09
1/17/19,0, AAA PARK 79 JOHN WESLE     ATLA,Transportation,5,5,0,215.29
1/18/19,0, ZOES AP          PAYROLL       ,PayCheck Deposit - Zoes,154.21,0,154.21,368.3
1/22/19,0, SENSATIONAL SUBS           ATLA,Food,6.79,6.79,0,361.51
1/23/19,0, DUNKIN #302564 Q35         DULU,Food,5.07,5.07,0,356.44
1/24/19,0, SQU*SQ *EBRIK COFFEE R     ATLA,Food,3.18,3.18,0,353.26
1/24/19,0, ARBYS #8080 ATLANTA        ATLA,Food,4.35,4.35,0,348.91
1/24/19,0, QUIKTRIP                   DULU,Gasoline,21.83,21.83,0,327.08
1/25/19,0, DUNKIN #310092 Q35         ATLA,Food,5.86,5.86,0,301.22
1/25/19,0, FLYING ROLL                DULU,Food,20,20,0,307.08
1/28/19,0, DUNKIN #353523 Q35         JOHN,Food,1.17,1.17,0,300.05
1/29/19,0, WALGREENS STOR             ATLA,Food,1.88,1.88,0,295.01
1/29/19,0, BIRD APP                   8662,Transportation,2.5,2.5,0,292.51
1/29/19,0, ROSAS PIZZA II             ATLA,Food,3.16,3.16,0,296.89
1/30/19,0, KRISPY KREME DOUGH         DULU,Food,1.15,1.15,0,291.36
1/31/19,0, GSU PANTHER DINING RET     ATLA,Food,6.25,6.25,0,285.11
2/1/19,0, ZOES AP          PAYROLL       ,PayCheck Deposit - Zoes,144.81,0,144.81,429.92
2/1/19,0, CHECKERS 1135              DULU,Food,2.12,2.12,0,420.8
2/1/19,0, KROGER 38 3455             DULU,Food,3.05,3.05,0,391.56
2/1/19,0, SQU*SQ *MAMA MIA PIZZA     ATLA,Food,4.31,4.31,0,410.08
2/1/19,0, SMOOTHIE KING #468         ATLA,Food,6.41,6.41,0,414.39
2/1/19,0, THAI STAR                  NORC,Food,7,7,0,422.92
2/1/19,0, KROGER FU 3455             DULU,Gasoline,15.47,15.47,0,394.61
2/1/19,0, VENMO            PAYMENT    171,Money Transfer - Debit,80,80,0,311.56
2/4/19,0, DAIRY QUEEN #41248         NORC,Food,8.62,8.62,0,302.94
2/5/19,0, SQU*SQ *CAFE HOT WING      ATLA,Food,11.88,11.88,0,291.06
2/6/19,0, WALGREENS STOR             ATLA,Food,1.24,1.24,0,280.38
2/6/19,0, SQUARE *SQ *ROLY POLY      ATLA,Food,9.44,9.44,0,281.62
2/7/19,0, STARBUCKS NO 47800         ATLA,Food,4.19,4.19,0,276.19
2/7/19,0, GSU PANTHER DINING RET     ATLA,Food,8.92,8.92,0,267.27
2/8/19,0, DUNKIN #354102 Q35         PEAC,Food,2.12,2.12,0,265.15
2/11/19,0, SQUARE INC       ANTHO         ,Money Transfer - Credit,12,0,12,277.15
2/11/19,0, KROGER FU 3455             DULU,Gasoline,19.01,19.01,0,258.14
2/12/19,0, POPEYES #12807             DULU,Food,6.88,6.88,0,251.26
2/13/19,0, FLIP BURGER BOUTIQUE       ATLA,Food,31,31,0,220.26
2/14/19,0, SQUARE INC       ANTHO         ,Money Transfer - Credit,5,0,5,225.26
2/14/19,0, PCA ATLANTA LOT 30         ATLA,Transportation,8,8,0,217.26
2/14/19,0, BIRD APP                   8662,Transportation,10,10,0,207.26
2/14/19,0, SQU*SQ *SCHARITES MARV     AUGU,Money Transfer - Debit,30,30,0,177.26
2/15/19,0, ZOES AP          PAYROLL       ,PayCheck Deposit - Zoes,159.15,0,159.15,336.41
2/15/19,0, SQU*SQ *CAFE HOT WING      ATLA,Food,8.74,8.74,0,327.67
2/15/19,0, KROGER FU 1094             ALPH,Gasoline,22.28,22.28,0,305.39
2/19/19,0, LANIER PARKING 11356       ATLA,Transportation,3,3,0,282.01
2/19/19,0, MCDONALD S F10647          NORC,Food,4.12,4.12,0,290.01
2/19/19,0, GSU PARKING DECK SKN       ATLA,Transportation,5,5,0,285.01
2/19/19,0, MANHATTAN NY DELI BAGE     NORC,Food,11.26,11.26,0,294.13
2/19/19,0, VARSITY NORTH AVENUE T     ATLA,Food,16.71,16.71,0,265.3
2/20/19,0, SUBWAY        00598474     ATLA,Food,8.27,8.27,0,257.03
2/20/19,0, QUIKTRIP                   DULU,Gasoline,19.7,19.7,0,237.33
2/22/19,0, CHICK-FIL-A #00821         DULU,Food,3.59,3.59,0,233.74
2/25/19,0, VENMO            CASHOUT       ,Money Transfer - Credit,20,0,20,253.74
2/26/19,0, HUDSONNEWS ST1002          SANT,Food,4.7,4.7,0,249.04
2/27/19,0, SQUARE *SQ *ROLY POLY      ATLA,Food,5.9,5.9,0,236.7
2/27/19,0, CHECKERS 1135              DULU,Food,6.44,6.44,0,242.6
2/28/19,0, STARBUCKS NO 47800         ATLA,Food,4.19,4.19,0,221.51
2/28/19,0, GSU PARKING DECK SKN       ATLA,Transportation,5,5,0,225.7
2/28/19,0, THAI STAR                  NORC,Food,6,6,0,230.7
2/28/19,0, MOES SW GRILL 213          ATLA,Food,9.57,9.57,0,211.94
3/1/19,0, ZOES AP          PAYROLL       ,PayCheck Deposit - Zoes,102.14,0,102.14,314.08
3/4/19,0, GSU PARKING DECK SKN       ATLA,Transportation,5,5,0,301.08
3/4/19,0, PCA ATLANTA LOT 30         ATLA,Transportation,8,8,0,306.08
3/4/19,0, VALERO 7                   ATLA,Gasoline,10,10,0,291.08
3/5/19,0, VENMO            PAYMENT    181,Money Transfer - Debit,4.1,4.1,0,286.98
3/6/19,0, CMSVEND*GEORGIA VENDIN     ALPH,Food,1.25,1.25,0,275.73
3/6/19,0, CMSVEND*GEORGIA VENDIN     ALPH,Food,1.5,1.5,0,274.23
3/6/19,0, GSU PARKING DECK SKN       ATLA,Transportation,10,10,0,276.98
3/6/19,0, VENMO            PAYMENT    181,Money Transfer - Debit,16.67,16.67,0,232.68
3/6/19,0, QUIKTRIP                   DULU,Gasoline,24.88,24.88,0,249.35
3/7/19,0, MARTA                      ATLA,Transportation,5,5,0,202.37
3/7/19,0, SAXBYS - GSU               ATLA,Food,5.31,5.31,0,227.37
3/7/19,0, BIRD APP                   8662,Transportation,10,10,0,217.37
3/7/19,0, SQU*SQ *CAFE HOT WING      ATLA,Food,10,10,0,207.37
3/8/19,0, GSU PARKING DECK SKN       ATLA,Transportation,5,5,0,197.37
3/11/19,0, SAXBYS - GSU               ATLA,Food,1.08,1.08,0,189.44
3/11/19,0, SQC*JALIA WASHINGTO        4153,Money Transfer - Debit,5,5,0,157.34
3/11/19,0, SAXBYS - GSU               ATLA,Food,6.85,6.85,0,190.52
3/11/19,0, KROGER 38 3455             DULU,Gasoline,27.1,27.1,0,162.34
3/12/19,0, IRS  TREAS 310     TAX REF     ,Refund,198,0,198,355.34
3/12/19,0, CMSVEND*GEORGIA VENDIN     ALPH,Food,1.5,1.5,0,345.73
3/12/19,0, CMSVEND*GEORGIA VENDIN     ALPH,Food,2,2,0,343.73
3/12/19,0, PANDA EXPRESS #3101        ATLA,Food,8.11,8.11,0,347.23
3/12/19,0, MARTA                      ATLA,Transportation,10,10,0,333.73
3/12/19,0, QUIKTRIP                   DULU,Gasoline,22.91,22.91,0,310.82
3/13/19,0, GEORGIA DEPARTME GASTTAXRFD    ,Refund,82,0,82,392.82
3/13/19,0, ALLY BANK        P2P           ,Ally Transfer - From,200,0,200,592.82
3/13/19,0, CMSVEND*GEORGIA VENDIN     ALPH,Food,1.75,1.75,0,454.56
3/13/19,0, QT 831        07008311     DULU,Food,2.85,2.85,0,456.31
3/13/19,0, VENMO            PAYMENT    184,Money Transfer - Debit,3,3,0,451.56
3/13/19,0, MAVIS SE DULUTH 602        DULU,Vehicle - Repair,133.66,133.66,0,459.16
3/14/19,0, MARTA                      ATLA,Transportation,5,5,0,446.56
3/15/19,0, SAXBYS - GSU               ATLA,Food,1.35,1.35,0,438.68
3/15/19,0, SAXBYS - GSU               ATLA,Food,6.53,6.53,0,440.03
